# Sigma = 0.100000
        3.7970989634        0.0546787603        0.0546787603        0.0178112012        0.0178112012
        3.8576434782        0.0574464844        0.0574464844        0.0183819238        0.0183819238
        3.9181879931        0.0629910624        0.0629910624        0.0197474465        0.0197474465
        3.9787325079        0.0696351760        0.0696351760        0.0214041203        0.0214041203
        4.0392770227        0.0752576413        0.0752576413        0.0227358992        0.0227358992
        4.0998215376        0.0786687658        0.0786687658        0.0233991973        0.0233991973
        4.1603660524        0.0803675189        0.0803675189        0.0234928563        0.0234928563
        4.2209105672        0.0834234323        0.0834234323        0.0238301608        0.0238301608
        4.2814550821        0.0907294044        0.0907294044        0.0252153507        0.0252153507
        4.3419995969        0.1004477133        0.1004477133        0.0271800707        0.0271800707
        4.4025441117        0.1080853194        0.1080853194        0.0285448878        0.0285448878
        4.4630886265        0.1126894184        0.1126894184        0.0290521210        0.0290521210
        4.5236331414        0.1177244472        0.1177244472        0.0295296020        0.0295296020
        4.5841776562        0.1265644846        0.1265644846        0.0307305859        0.0307305859
        4.6447221710        0.1392203727        0.1392203727        0.0326158044        0.0326158044
        4.7052666859        0.1526379924        0.1526379924        0.0345152972        0.0345152972
        4.7658112007        0.1640306592        0.1640306592        0.0358173410        0.0358173410
        4.8263557155        0.1750254142        0.1750254142        0.0367624812        0.0367624812
        4.8869002304        0.1901919386        0.1901919386        0.0381626357        0.0381626357
        4.9474447452        0.2110399878        0.2110399878        0.0402666807        0.0402666807
        5.0079892600        0.2347690493        0.2347690493        0.0425095550        0.0425095550
        5.0685337749        0.2601586157        0.2601586157        0.0444763799        0.0444763799
        5.1290782897        0.2915456920        0.2915456920        0.0465835015        0.0465835015
        5.1896228045        0.3335722813        0.3335722813        0.0493301442        0.0493301442
        5.2501673194        0.3860186980        0.3860186980        0.0524821455        0.0524821455
        5.3107118342        0.4472158764        0.4472158764        0.0554966538        0.0554966538
        5.3712563490        0.5179937889        0.5179937889        0.0580060807        0.0580060807
        5.4318008638        0.6006268701        0.6006268701        0.0596004990        0.0596004990
        5.4923453787        0.6951017707        0.6951017707        0.0597193404        0.0597193404
        5.5528898935        0.7951970661        0.7951970661        0.0578717619        0.0578717619
        5.6134344083        0.8924490600        0.8924490600        0.0540137051        0.0540137051
        5.6739789232        0.9833190773        0.9833190773        0.0488516862        0.0488516862
        5.7345234380        1.0596939616        1.0596939616        0.0433931971        0.0433931971
        5.7950679528        1.0912763866        1.0912763866        0.0379929601        0.0379929601
