# Sigma = 0.100000
       -0.7823010769        0.0000000000
       -0.7171552318        0.0000000000
       -0.6520093867        0.0000000000
       -0.5868635416        0.0000000000
       -0.5217176965        0.0000000000
       -0.4565718515        0.0000000000
       -0.3914260064        0.0000000001
       -0.3262801613        0.0000000029
       -0.2611343162        0.0000000809
       -0.1959884711        0.0000014849
       -0.1308426260        0.0000178499
       -0.0656967809        0.0001408222
       -0.0005509358        0.0007325954
        0.0645949093        0.0025423410
        0.1297407544        0.0060482704
        0.1948865995        0.0104644331
        0.2600324446        0.0146407010
        0.3251782897        0.0190157856
        0.3903241348        0.0256142739
        0.4554699799        0.0363253037
        0.5206158250        0.0500760954
        0.5857616701        0.0627408834
        0.6509075152        0.0721953999
        0.7160533603        0.0817098328
        0.7811992054        0.0974080573
        0.8463450505        0.1210188845
        0.9114908956        0.1458216421
        0.9766367407        0.1659430481
        1.0417825857        0.1851539636
        1.1069284308        0.2104113151
        1.1720742759        0.2446706777
        1.2372201210        0.2857855055
        1.3023659661        0.3288749704
        1.3675118112        0.3733439724
        1.4326576563        0.4256453363
        1.4978035014        0.4936789454
        1.5629493465        0.5851408866
        1.6280951916        0.7118960940
        1.6932410367        0.8833892231
        1.7583868818        1.0891242773
        1.8235327269        1.3036862381
        1.8886785720        1.5288373869
        1.9538244171        1.8217183493
        2.0189702622        2.2415365577
        2.0841161073        2.7325023698
        2.1492619524        3.1109919074
        2.2144077975        3.2555603754
        2.2795536426        3.2372878789
        2.3446994877        3.1857068603
        2.4098453328        3.1376519262
        2.4749911779        3.0575421891
        2.5401370229        2.9157428775
        2.6052828680        2.7273189411
        2.6704287131        2.5327815422
        2.7355745582        2.3551995521
        2.8007204033        2.1950057058
        2.8658662484        2.0493965192
        2.9310120935        1.9213270348
        2.9961579386        1.8223679682
        3.0613037837        1.7617781973
        3.1264496288        1.7225424405
        3.1915954739        1.6501283186
        3.2567413190        1.4657054176
        3.3218871641        1.1306523045
        3.3870330092        0.7238574129
        3.4521788543        0.3895925635
        3.5173246994        0.1991842981
        3.5824705445        0.1232115754
        3.6476163896        0.1063823817
        3.7127622347        0.1123710208
        3.7779080798        0.1230732380
        3.8430539249        0.1325304131
        3.9081997700        0.1402200086
        3.9733456151        0.1462696369
        4.0384914601        0.1514604440
        4.1036373052        0.1550651186
        4.1687831503        0.1586822418
        4.2339289954        0.1705505874
        4.2990748405        0.1911516730
        4.3642206856        0.2076870240
        4.4293665307        0.2147040820
        4.4945123758        0.2200362183
        4.5596582209        0.2305739150
        4.6248040660        0.2475425798
        4.6899499111        0.2679777070
        4.7550957562        0.2867009761
        4.8202416013        0.3020101189
        4.8853874464        0.3198592626
